iter	Passed	Remaining
548	18952	15569
549	18985	15533
550	19018	15498
551	19054	15464
552	19095	15435
553	19137	15406
554	19173	15373
555	19211	15341
556	19247	15308
557	19280	15272
558	19314	15237
559	19346	15201
560	19380	15165
561	19415	15131
562	19448	15096
563	19481	15060
564	19514	15024
565	19548	14989
566	19581	14953
567	19614	14918
568	19647	14882
569	19680	14846
570	19713	14811
571	19746	14775
572	19779	14739
573	19814	14705
574	19849	14671
575	19885	14637
576	19923	14606
577	19957	14570
578	19992	14536
579	20025	14501
580	20063	14469
581	20099	14435
582	20137	14403
583	20173	14370
584	20208	14335
585	20244	14302
586	20286	14273
587	20328	14243
588	20371	14215
589	20416	14187
590	20453	14154
591	20488	14120
592	20525	14087
593	20558	14052
594	20594	14018
595	20631	13985
596	20668	13951
597	20704	13918
598	20739	13883
599	20774	13849
600	20809	13815
601	20842	13779
602	20876	13744
603	20911	13710
604	20946	13675
605	20979	13640
606	21014	13605
607	21051	13572
608	21085	13537
609	21120	13503
610	21154	13468
611	21193	13436
612	21229	13402
613	21267	13369
614	21302	13335
615	21338	13301
616	21372	13267
617	21410	13234
618	21447	13200
619	21489	13170
620	21535	13143
621	21580	13115
622	21627	13087
623	21670	13057
624	21707	13024
625	21742	12990
626	21780	12957
627	21815	12922
628	21852	12889
629	21886	12853
630	21920	12818
631	21959	12786
632	21994	12752
633	22032	12719
634	22071	12686
635	22109	12653
636	22147	12621
637	22187	12588
638	22222	12554
639	22257	12519
640	22291	12484
641	22329	12451
642	22364	12416
643	22399	12382
644	22435	12348
645	22472	12314
646	22507	12280
647	22545	12247
648	22581	12212
649	22617	12178
650	22665	12151
651	22708	12120
652	22754	12091
653	22796	12060
654	22832	12026
655	22870	11992
656	22906	11958
657	22943	11925
658	22978	11889
659	23012	11854
660	23047	11820
661	23082	11785
662	23119	11751
663	23153	11716
664	23191	11682
665	23226	11647
666	23262	11613
667	23299	11580
668	23335	11545
669	23368	11509
670	23404	11475
671	23442	11442
672	23479	11408
673	23514	11373
674	23549	11338
675	23587	11305
676	23624	11271
677	23660	11237
678	23699	11204
679	23735	11169
680	23771	11135
681	23806	11100
682	23851	11070
683	23893	11038
684	23934	11006
685	23974	10973
686	24010	10939
687	24047	10905
688	24082	10870
689	24118	10835
690	24154	10801
691	24189	10766
692	24222	10730
693	24255	10694
694	24288	10659
695	24321	10623
696	24356	10588
697	24391	10553
698	24423	10517
699	24455	10480
700	24492	10446
701	24525	10410
702	24559	10375
703	24593	10340
704	24628	10305
705	24661	10269
706	24695	10234
707	24729	10199
708	24764	10164
709	24795	10127
710	24826	10091
711	24860	10055
712	24894	10020
713	24928	9985
714	24962	9950
715	24997	9915
716	25037	9882
717	25079	9850
718	25115	9815
719	25153	9781
720	25189	9747
721	25224	9712
722	25258	9677
723	25290	9640
724	25322	9605
725	25355	9569
726	25387	9533
727	25420	9497
728	25454	9462
729	25489	9427
730	25523	9392
731	25555	9356
732	25589	9321
733	25623	9285
734	25655	9250
735	25692	9215
736	25726	9180
737	25763	9146
738	25801	9112
739	25832	9076
740	25865	9040
741	25899	9005
742	25932	8969
743	25967	8935
744	26000	8899
745	26034	8864
746	26068	8829
747	26103	8794
748	26135	8758
749	26167	8722
750	26207	8689
751	26245	8655
752	26282	8621
753	26319	8587
754	26353	8551
755	26386	8516
756	26420	8481
757	26453	8445
758	26487	8410
759	26521	8375
760	26555	8340
761	26589	8304
762	26623	8269
763	26656	8234
764	26690	8198
765	26725	8164
766	26758	8128
767	26795	8094
768	26829	8059
769	26864	8024
770	26898	7989
771	26934	7954
772	26971	7920
773	27009	7886
774	27047	7852
775	27080	7816
776	27112	7781
777	27144	7745
778	27179	7710
779	27213	7675
780	27247	7640
781	27282	7605
782	27317	7570
783	27355	7536
784	27393	7502
785	27434	7469
786	27475	7436
787	27513	7401
788	27549	7367
789	27583	7332
790	27622	7298
791	27654	7262
792	27687	7227
793	27721	7192
794	27756	7157
795	27791	7122
796	27827	7087
797	27865	7053
798	27906	7020
799	27947	6986
800	27989	6953
